crawl_date,source_date,title,source,source_time,Sentiment_label
2025/10/24 17:11,2025/10/23,BBU、CPO...5族群噴發 分析師推7檔,時報資訊,昨天,
2025/10/24 17:11,2025/10/23,北榮與鴻海簽署合作 打造全球智慧醫療台灣隊,台灣新生報,20 小時前,
2025/10/24 17:11,2025/10/23,台積電出現強敵！馬斯克爆「1公司」也參與製作特斯拉AI5晶片,三立新聞網 setn.com,20 小時前,
2025/10/24 17:11,2025/10/23,台灣AI專利申請數全球第九　「這家公司奪冠」台積電竟沒排進前五,風傳媒,21 小時前,
2025/10/24 17:11,2025/10/23,台積電霸主地位撼動? 輝達星艦落地協商2／與新壽啟動解約！　北市府「終極目標」：明年電腦展簽約輝達,鏡新聞,22 小時前,
2025/10/24 17:11,2025/10/23,台積電霸主地位撼動? 輝達星艦落地協商1／不單靠台積電！　三星加入特斯拉「AI5晶片」生產,鏡新聞,22 小時前,
2025/10/24 17:11,2025/10/23,鴻海股價飆高！ 他受不了「全數出清」 網笑：上看300賣太早,EBC東森財經新聞,22 小時前,
2025/10/24 17:11,2025/10/23,台股資金動能充足！證券劃撥存款餘額近3.9兆元創新高 M1B、M2年增率雙回升,鉅亨網,22 小時前,
2025/10/24 17:11,2025/10/23,為台灣醫療創造三贏！　鴻海投注3億推動AI與智慧醫院建設,鏡週刊Mirror Media,22 小時前,
2025/10/24 17:11,2025/10/23,台股9月創新高！法人投入度勝散戶 僑外資占比增至33.7%,太報,23 小時前,
2025/10/24 17:11,2025/10/23,鴻海攜手北榮　三年投入三億打造AI診斷＋智慧醫院新典範,鏡報,昨天,
2025/10/24 17:11,2025/10/23,台股收跌116點！台積電1450元收盤,壹蘋新聞網,23 小時前,
2025/10/24 17:11,2025/10/23,外資連3賣！三大法人再砍249億元 台股10日線告急、國巨帶頭抗空,聯合新聞網,23 小時前,
2025/10/24 17:11,2025/10/23,鴻海擬合作北榮　布局AI智慧醫療 (圖),中央社,23 小時前,
2025/10/24 17:11,2025/10/23,羨慕台積電因AI熱快速成長！南韓學者憂5年後被台灣追上，點出兩國產業「最大不同」,風傳媒,20 小時前,
2025/10/24 17:11,2025/10/23,台股周線連九漲！電子股扮功臣 電子零組件股週轉率近1成,中時財經即時,23 小時前,
2025/10/24 17:11,2025/10/23,台股連假前失守5日線外資續砍239億元 連13賣0050共近68萬張,鉅亨網,23 小時前,
