crawl_date,source_time,title,source,Sentiment_label,Positive_sentim,Negative_sentim,Neutral_sentim,link
2025/10/24 18:34,2024-11-20T19:34:30Z,Do 7% interest savings accounts exist anymore?,Yahoo Finance RSS,,,,,https://finance.yahoo.com/personal-finance/banking/article/7-interest-savings-accounts-193430565.html
2025/10/24 18:34,2024-02-13T23:57:04Z,Cheapest car insurance in the U.S. 2025,Yahoo Finance RSS,,,,,https://finance.yahoo.com/personal-finance/insurance/article/cheap-car-insurance-152307402.html
2025/10/24 18:34,2025-10-22T15:31:28Z,7 costly first-time home buyer mistakes — and how to avoid them,Yahoo Finance RSS,,,,,https://finance.yahoo.com/personal-finance/mortgages/article/first-time-home-buyer-mistakes-153128493.html
2025/10/24 18:34,2025-10-22T20:36:36Z,Prepayment penalties: The hidden trap in some personal loans,Yahoo Finance RSS,,,,,https://finance.yahoo.com/personal-finance/personal-loans/article/loan-prepayment-penalty-203636394.html
2025/10/24 18:34,2025-10-22T22:12:59Z,6 best bank account features for freelancers,Yahoo Finance RSS,,,,,https://finance.yahoo.com/personal-finance/banking/article/best-freelancer-bank-account-features-221259187.html
2025/10/24 18:34,2025-10-22T22:28:50Z,Ex-Crypto Exec Claims DeFi Company Cut Him Out of Lucrative Stablecoin Biz M^0,Yahoo Finance RSS,,,,,https://finance.yahoo.com/news/ex-crypto-exec-claims-defi-222850642.html
2025/10/24 18:34,2025-10-22T22:30:24Z,Podcast: Renewed Trade Tensions Push Stocks Down,Yahoo Finance RSS,,,,,https://www.wsj.com/livecoverage/stock-market-today-tesla-earnings-10-22-2025/card/podcast-renewed-trade-tensions-push-stocks-down-Bu5syRjUTP7SbAPz3X8W?siteid=yhoof2&yptr=yahoo
2025/10/24 18:34,2025-10-22T22:42:00Z,"Automakers urge Trump not to impose tariffs on factory robots, machinery",Yahoo Finance RSS,,,,,https://finance.yahoo.com/news/automakers-urge-trump-not-impose-224200353.html
2025/10/24 18:34,2025-10-22T22:47:35Z,Cleveland-Cliffs (CLF) Nosedives on ‘Sell’ Reco,Yahoo Finance RSS,,,,,https://finance.yahoo.com/news/cleveland-cliffs-clf-nosedives-sell-224735190.html
2025/10/24 18:34,2025-10-22T22:48:10Z,USA Rare Earth (USAR) Tumbles After Trump Signs Deal with Australia,Yahoo Finance RSS,,,,,https://finance.yahoo.com/news/usa-rare-earth-usar-tumbles-224810661.html
2025/10/24 18:34,2025-10-22T22:35:53Z,Chagee Keeps Prices High Amid Sales Slump,Yahoo Finance RSS,,,,,https://finance.yahoo.com/video/chagee-keeps-prices-high-amid-223553857.html
2025/10/24 18:34,2025-10-22T22:47:48Z,Coeur Mining (CDE) Gets Battered by Gold Decline,Yahoo Finance RSS,,,,,https://finance.yahoo.com/news/coeur-mining-cde-gets-battered-224748512.html
2025/10/24 18:34,2025-10-22T22:48:48Z,Fermi (FRMI) Drops to All-Time Low,Yahoo Finance RSS,,,,,https://finance.yahoo.com/news/fermi-frmi-drops-time-low-224848207.html
2025/10/24 18:34,2025-10-22T22:49:00Z,NuScale (SMR) Extends Losses on ‘Sell’ Reco,Yahoo Finance RSS,,,,,https://finance.yahoo.com/news/nuscale-smr-extends-losses-sell-224900675.html
